
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
Mas	mas	CCONJ	
nunca	nunca	ADV	
dentro	dentro	ADV	
daquele	de aquele	ADP	
espírito	espírito	NOUN	
de	de	SCONJ	
estar	estar	AUX	
estendido	estendido	ADJ	
ao	a o	ADP	
sol	sol	NOUN	
para	para	SCONJ	
apanhar	apanhar	VERB	
sol	sol	NOUN	

Para	para	ADP	
mim	eu	PRON	
praia	praia	NOUN	
ou	ou	CCONJ	
piscina	piscina	NOUN	
é	ser	AUX	
sinónimo	sinónimo	ADJ	
de	de	ADP	
água	água	NOUN	
e	e	CCONJ	
de	de	ADP	
água	água	NOUN	
é	ser	AUX	
entra	entrar	VERB	
sai	sair	VERB	
brinca	brincar	VERB	
nada	nada	PRON	
apanha	apanhar	VERB	
com	com	ADP	
os	o	DET	
outros	outro	DET	
miúdos	miúdo	NOUN	
o	ele	PRON	
corre	correr	VERB	

Foi	foi	SCONJ	
na	em o	ADP	
altura	altura	NOUN	
em	em	ADP	
que	que	PRON	
comecei	começar	VERB	
mesmo	mesmo	ADV	
a	a	SCONJ	
praticar	praticar	VERB	
natação	natação	NOUN	

Comecei	Comecei	VERB	
a	a	SCONJ	
entrar	entrar	VERB	
em	em	ADP	
algumas	algum	DET	
competições	competição	NOUN	
locais	local	ADJ	

Mas	mas	CCONJ	
o	ele	PRON	
estar	estar	AUX	
na	em o	ADP	
água	água	NOUN	
isola-nos	isola-nos	VERB	
ou	ou	CCONJ	
protege-nos	protege-nos	ADJ	
dos	de o	ADP	
infra-vermelhos	infra-vermelho	NOUN	
e	e	CCONJ	
não	não	ADV	
se	se	PRON	
fica	ficar	VERB	
queimado	queimar	VERB	
mas	mas	CCONJ	
não	não	ADV	
protege	proteger	VERB	
dos	de o	ADP	
ultra-violetas	ultra-violeta	NOUN	

Os	o	DET	
problemas	problema	NOUN	
que	que	PRON	
tenho	ter	VERB	
na	em o	ADP	
pele	pele	NOUN	
hoje	hoje	ADV	
em	em	ADP	
dia	dia	NOUN	
são	ser	AUX	
devido	devido	ADV	
a	a	ADP	
essa	esse	DET	
infância	infância	NOUN	

Havia	Havia	VERB	
muito	muito	ADV	
poucos	pouco	DET	
africanos	africano	NOUN	
a	a	SCONJ	
frequentarem	frequentar	VERB	
a	o	DET	
piscina	piscina	NOUN	

Era	ser	AUX	
a	o	DET	
piscina	piscina	NOUN	
da	de o	ADP	
companhia	companhia	NOUN	
ferroviária	ferroviário	ADJ	
e	e	CCONJ	
aquilo	aquilo	PRON	
era	ser	AUX	
só	só	ADV	
para	para	ADP	
associados	associado	NOUN	
e	e	CCONJ	
era	ser	AUX	
tudo	tudo	DET	
europeus	europeu	ADJ	

As	o	DET	
pessoas	pessoa	NOUN	
que	que	PRON	
tinham	ter	VERB	
habitações	habitação	NOUN	
e	e	CCONJ	
passavam	passar	VERB	
